Parlor name,Phone number,Address
AA Health,309-566-9196,"304 N 4th St; Pekin, IL, 61554"
AA Massage,816-548-8626,"4307 Blue Ridge Blvd; Kansas City, MO, 64133"
AA Massage,816-868-5007,"1837 NW Vivion Rd; Gladstone, MO, 64150"
AAA Massage,928-233-5033,"2018 E Butler Ave; Flagstaff, AZ, 86004"
AAA-Reflexology & Massage SPA,469-264-0597,"9535 Forest Ln; Dallas, TX, 75243"
AAM Relax Spa,801-419-0015,"3355 S Main St; Salt Lake City, UT, 84115"
Aavalon Spa,610-954-5323,"2432 Easton Ave; Bethlehem, PA, 18107"
Abba Spa,407-351-6645,"6645 Vineland Rd, #210; Orlando, FL, 32819"
Absolute Relaxation Health Spa,509-241-3480,"9315 E Trent Ave; Spokane Valley, WA, 99206"
AC Massage,760-862-1845,"72855 Fred Waring Dr; Palm Desert, CA, 92260"
Accupressure,516-282-6661,"246-03 Jericho Turnpike; Bellerose, NY, 11426"
Accupressure Studio,201-368-0070,"Market St & Caldwell Ave; Saddle Brook, NJ, 07663"
Acu Spa,608-421-2296,"3511E Washington Ave; Madison, WI, 53704"
Acu-Herb Healing Center,206-525-5120,"9841 Aurora Ave N; Seattle, WA, 98103"
Acupuncture,909-503-7451,"12139 Mt. Vernon Ave; Grand Terrace, CA, 92313"
Acupuncture & Herbs,714-461-8565,"649 W Imperial Hwy; Brea, CA, 92821"
Acupunture,916-534-4043,"6735 Fair Oaks Blvd; Sacramento, CA, 95608"
Advanced Bodyworks,916-484-7609,"2398 Fair Oaks Blvd #9; Sacramento, CA, 95825"
Aesthetic Spa,949-833-3111,"4001 Birch St, #B; Newport Beach, CA, 92660"
Affinity Massage,570-629-6628,"Route 611 N Across the street from the Crossings shopping outlets; Tannersville, PA, 18372"
Ageless Beauty,408-641-9618,"2034 Forest Ave Ste 1B; San Jose, CA, 95128"
AJ Salon,773-847-9818,"3113 S. Archer Ave.; Chicago, IL, 60608"
All About Health,209-639-1162,"3024 Pacific Ave; Stockton, CA, 95204"
All American Massage,720-278-5811,"10841 S Crossroads Dr #116; Parker, CO, 80138"
All Sports Massage,713-534-7105,"11828 Westheimer Rd.; Houston, TX, 77077"
Allure Day Studio,803-386-4042,"3955 southeastern way; West Columbia, SC, 29169"
Almaz Spa,973-493-0849,"620 Newark Ave & Cook St; Jersey City, NJ, 07306"
Almighty Health Center,626-863-6542,"2389 S. Hacienda Blvd; Hacienda Heights, CA, 91745"
Always Mother Earth,888-233-6067,"2945 Harding St, Suite 110; Carlsbad, CA, 92008"
AM Relaxation Therapy,832-542-3336,"12637 Westheimer Rd; Houston, TX, 77077"
Amazing Touch Massage,562-533-5080,"421 E Whittier Boulevard; La Habra, CA, 90631"
Amazing Touches,314-565-8111,"1916 Lucas Avenue; St Louis, MO, 63103"
Amazonas Aromatherapy,714-817-0656,"2168 W. Broadway; Anaheim, CA, 92804"
Amber Day Spa,212-576-1020,"37 E 28th St; New York City, NY, 10016"
Amber Spa,669-274-6937,"175 S. Capitol Ave Ste D; San Jose, CA,  95127"
Ambrosia Massage,808-799-2114,"1750 Kalakaua Ave #116; Hauula, HI, 96826"
Amy's Spa,781-603-9635,"435 Newbury St #203; Danvers, MA, 01923"
Amystika Spa,570-257-0155,"570 Route 739 & Well Rd; Hawley, PA, 18428"
Angel Day Spa,714-724-7229,"10019 Garden Grove Blvd; Garden Grove, CA, 92844"
Angel Spa,801-502-6254,"5523 S 1900 W, Ste 11; Roy, UT, 84404"
Angel Spa,702-287-8167,"1320 South Rainbow Boulevard; Las Vegas, NV, 89139"
Angeline Spa,714-398-4983,"14022 Edwards St; Westminster, CA, 92683"
Anjou Massage,917-402-2450,"14404 Eureka; Southgate, MI, 48195"
Antelope Valley Healing Arts,661-726-4646,"566 W Lancaster Blvd # 20; Lancaster, CA, 93534"
AP Beauty Spa,650-518-1258,"744 San Antonio Rd, Suite 5; Palo Alto, CA, 94303"
Aqua Spa,914-358-1228,"4 Broadway; Valhalla, NY, 10595"
Aria Garden Spa,914-235-4937,"714 North Ave; New Rochelle, NY, 10801"
Aries Spa,610-841-7900,"3333 Hamilton Blvd & Haines Mill Rd; Allentown, PA, 18104"
Art Gorgeous Esthetic,917-547-8534,"3470 Broadway; New York City, NY, 10031"
Art Spa,502-231-5668,"6447 Bardstown Rd; Louisville, KY, 40291"
Asia Massage Center,559-321-6388,"55 W. Shaw Ave., Suite 106; Clovis, CA, 93612"
Asian Accumassage,570-426-1698,"52 Route 611 & Frantz Rd; Bartonsville, PA, 18321"
Asian Acupressure,609-361-3486,"445 Lacey Rd; Forked River, NJ, 08731"
Asian Bodywork,508-663-7831,"1 Strawberry Hill Rd; Acton, MA, 01720"
Asian Bodywork,816-255-7527,"1601 S 169 Hwy Smithville Clay MO; Kansas City, MO, 64089"
Asian girl SPA,347-801-7027,"east 54th street 1ave between 2ave; New York City, NY, 10023"
Asian Health Center,626-321-6381,"3840 E Foothill Blvd # A; Pasadena, CA, 91107"
Asian Health Spa,215-820-8127,"1012 CHERRY ST; Philadelphia, PA, 19107"
Asian Herbal Spa,425-649-1970,"14910 SE Allen Rd.; Bellevue, WA, 98006"
Asian Massage,715-304-0762,"4831 Rising Sun Ave; Philadelphia, PA, 19120"
Asian Massage,267-690-2930,"3103 Chichester Ave; Boothwyn, PA, 19061"
Asian massage,417-319-4358 OR 417-380-8608,"2841 s Fremont ave; Springfield, MO, 65804"
Asian Massage,505-323-4364,"13140 Central Ave NE # B; Albuquerque, NM, 87123"
Asian Massage,512-825-2383,"1305 S Mays St Ste A; Round Rock, TX, 78664"
Asian Massage,485-205-8046,"525 E 11th Ave; Eugene, OR, 97401"
Asian Massage,210-780-2888,"8205 Rough Rider Dr; San Antonio, TX, 78239"
Asian Massage,208-938-9785,"1705 N. Cole Road; Boise, ID, 93704"
Asian Massage,626-366-0310,"1395 shaw Ave #102; Clovis, CA, 93612"
Asian Massage,267-945-1811,"925 Mt Vernon St; Philadelphia, PA, 19123"
Asian Massage,213-948-5336,"4119 W Olympic Blvd; Los Angeles, CA, 90019"
Asian Massage,512-826-0166,"3410 Far West Blvd.; Austin, TX, 78731"
Asian Massage,305-392-0139,"5625 SW 107 Ave; Miami, FL, 33173"
Asian Massage,515-512-6349,"1245 8th Street, Suite:B, West Des Moines; Des Moines, IA, 50265"
Asian Massage,337-784-1802,"1403 E Prien Lake Rd; Lake Charles, LA, 70601"
Asian Massage & Reflexology,859-729-9383,"8121 U.S. 42; Florence, KY, 41042"
Asian Massage Day Spa,714-542-8885,"17221 E 17th St #K; Santa Ana, CA, 92705"
Asian Massage Parlor,410-653-3321,"1310 Reisterstown Rd.; Pikesville, MD, 21208"
Asian Massage Place,410-290-7733,"9691-2 Gerwig Lane, Suite L; Columbia, MD, 21046"
Asian Massage Spa,480-830-9833,"7303 E Main St, Suite #113; Mesa, AZ, 85207"
Asian Massage Spa,570-328-1027,"1100 w front st; Berwick, PA, 18603"
Asian Massage Therapy,816-413-8787,"4401 NE Vivion RD Ste 206 Kansas City MO; Kansas City, MO, 64119"
Asian Nurse Unique Best Massage,818-823-9907,"14014 Ventura Blvd., Suite 2C; Sherman Oaks, CA, 91423"
Asian Pearl Massage & Reflexology,916-728-2222,"5880 Antelope Rd; Sacramento, CA, 95842"
Asian Relaxation Center,214-664-5279,"14215 Haymeadow Dr.; Dallas, TX, 75254"
Asian Rose Massage,480-832-9488,"3544 E Southern Ave, Suite 110; Mesa, AZ, 85204"
Asian Spa,858-371-8277,"6315 Beadnell way; San Diego, CA, 92117"
ASIAN SPA & Massage,941-706-3417,"9 FILLMORE DR (ST ARMANDS CIR).; Sarasota, FL, 34236"
Asian Super Spa,713-647-7111,"10873 Katy Fwy.; Houston, TX, 77079"
Asian Therapeutic Massage,508-308-8612,"691B Cochituate Road (Route 30); Framingham, MA, 01701"
Asian Tuina Massage,562-450-7039,"16324 Clark Ave 90706; Long Beach, CA, 90706"
Asian Wellness Center,781-324-6888,"390 Pleasant St; Malden, MA, 02148"
Astoria Bodywork,929-329-8731,"26-18 23rd Ave; Astoria, NY, 11105"
Auburn Spa,530-537-2626,"126 East Street; Auburn, CA, 95603"
Authentic Asian Massage,734-730-6611,"2896 Washtenaw Ave; Ypsilanti, MI, 48197"
Authentic Asian Massage,609-688-8989,"421 Executive Dr.; Princeton, NJ, 08540"
Authentic Chinese Massage,804-387-7833,"7 Dunlop Village; Colonial Heights, VA, 23834"
Autherapy,913-884-8273,"235 E Main St; Gardner, KS, 66030"
Autumn Breeze Spa,301-693-6606,"5 Willowdale Dr.; Frederick, MD, 21702"
Ava Spa,785-228-2345,"5000 SW 21st St., Suite B; Topeka, KS, 66604"
Avoca Massage,262-923-6561,"334 Wisconsin Ave; Waukesha, WI, 53186"
Awaken Massage,707-255-8888,"1763 Second Street, Second Floor; Napa, CA, 94559"
AZ Medical Certification,480-483-0767,"10435 N. Scottsdale Rd.; Scottsdale, AZ, 85253"
Azure Reflexology,657-400-9639,"13075 Springdale St; Westminster, CA, 92683"
B2B,305-974-5114,"4715 NW 157th St.; Miami, FL, 33014"
B2B by Cashmere,818-288-1477,"2633 Sepulveda Blvd; Torrance, CA, 90505"
Babylon Spa,346-222-0017,"141 Greens Road #A; Houston, TX, 77060"
Baichao Spa,631-703-6723,"2364 Hempstead Turnpike; East Meadow, NY, 11566"
Baked Bunz Spa,734-743-1048,"8851 Newburgh; Livonia, MI, 49150"
Balance Acucenter,818-679-3063,"6934 Canby #109; Reseda, CA, 91335"
Bally Acupressure Center,610-259-3868,"25 E Baltimore Ave & S Springfield Rd; Clifton Heights, PA, 19018"
Bally Spa,864-332-8008,"2-100 Halter Dr; Piedmont, SC, 29673"
Bamboo Sauna,206-439-2606,"14021 Ambaum Blvd. SW; Burien, WA, 98166"
Bamboo Spa,504-522-7588,"431 Gravier St.; New Orleans, LA, 70130"
Bangkok Thai Massage & Spa,405-601-4495,"4613 SE 29th St; Del City, OK, 73115"
Bath Body Works,718-232-2633,"1562 Bath Avenue; Brooklyn, NY, 11214"
Bay City Spa,920-396-4919,"1830 W. Mason St., Unit 5; Green Bay, WI, 54303"
Bay One Spa,602-277-0276,"1095 E Indian School Rd #700; Phoenix, AZ, 85014"
Bay Spa,858-334-3368,"4961 DIANE AVE; San Diego, CA, 92117"
Bayside Body Work,929-888-3006,"211-63 46 Ave.; Bayside, NY, 11361"
BC Spa,281-463-1088,"18039 FM 529 Rd, Suite C; Cypress, TX, 77433"
Beautiful Asain,801-317-5648,"3725 Washington Blvd ste 11; Ogden, UT, 84401"
Beautiful Massage,818-508-8089,"6005 Vineland Ave 108; North Hollywood, CA, 91606"
Beautiful Therapy,301-565-4672,"2606 E. West Hwy.; Bethesda, MD, 20815"
Beauty Eighteen SPA,301-818-0999,"966 Hungerford Dr #18a; Rockville, MD, 20850"
Beauty Forever Day Spa,718-746-5287,"36-36 Bell Blvd; Bayside, NY, 11361"
Beauty Massage Spa,405-579-0119,"3750 W Main St #7; Norman, OK, 73072"
Beauty Medical Spa,240-880-7814,"11221 Lockwood Dr.; White Oak, MD, 20901"
Beauty Plus Spa,702-883-3057,"3133 S Industrial Rd.; Las Vegas, NV, 89109"
Beauty Salon,408-667-2062,"7280 Blue Hill Dr #11; San Jose, CA, 95129"
Beauty Salon Center,508-202-9160,"186 Union Ave, Suite H; Framingham, MA, 01702"
Bee Acupressure,951-785-1111,"9824 Magnolia Ave.; Riverside, CA, 92503"
Bella Body Shoppe,347-879-1468,"224 W 4TH St; New York City, NY, 10014"
Bella Medi Spa,215-638-2211,"3133 Lincoln Highway; Philadelphia, PA, 19116"
Bensalem MV Spa,215-244-2611,"1316 Street Road; Bensalem, PA, 19020"
Best Asian Bodywork,586-213-2258,"23651 Goddard Rd.; Taylor, MI, 48180"
Best Asian Hands Massage,805-937-0811,"555 E. Clark Ave., Suite A; Santa Maria, CA, 93455"
Best Asian Massage,650-562-7789,"2769 El Camino Real; Redwood City, CA, 94061"
Best Chinese Massage,626-380-6788,"1552 W  Alameda Ave; Denver, CO, 80223"
Best Latina Spa,818-855-0526,"6648 Van Nuys Blvd; Van Nuys, CA, 91405"
Best Luxury VIP,615-692-2349,"2821 Lebanon Pike; Nashville, TN, 37214"
Best Massage,303-948-1506,"4550 S Kipling St; Denver, CO, 80127"
Best Real Asian,347-501-2764,"248-07 Jericho Turnpike; Bellerose, NY, 11426"
Best Skin Care & Health Spa,310-715-6699,"18547 Western Ave.; Torrance, CA, 90504"
Best Spa,732-372-5891,"18 Sheppard Pl; Edison, NJ, 08817"
Best spa massage,540-676-0686,"6431 Williamson rd; Roanoke, VA, 24019"
Blackside Foot Spa,817-469-7000,"200  Matlock suite 100; Arlington, TX, 75051"
Bliss Spa,973-368-2087,"265 South St; Newark, NJ, 07114"
Blossom Spa,443-730-4651,"8409 Harford RD; Baltimore, MD, 21234"
Blue Aroma Therapy,818-509-1884,"5759 Lankershim Blvd.; North Hollywood, CA, 91601"
Blue Cafe,623-934-9803,"10040 N. 43rd Ave.; Glendale, AZ, 85302"
Blue Diamond,702-801-7187,"3143 Sammy Davis Jr Dr; Las Vegas, NV, 89109"
Blue Massage Spa,317-802-7044,"141 N Shortridge Rd; Indianapolis, IN, 46219"
Blue Ocean Therapeutic Massage,703-764-0407,"5222 Rolling Rd.; Burke, VA, 22015"
Blue Pine Spa,720-763-6337,"6212 Pine Lane; Parker, CO, 80134"
Blue River Massage Therapy,317-308-9566,"24 Howard St.; Shelbyville, IN, 46176"
Blue Sky Spa,718-310-7055,"70 Willoughby St; Brooklyn, NY, 11201"
Body & Soul Massage,973-222-6455,"192 Spring St; Newton, NJ, 07860"
Body Fusion,714-328-5333,"300 N Tustin Ave #200; Santa Ana, CA, 92705"
Body Massage,818-761-0102,"10542 Victory Blvd.; North Hollywood, CA, 91606"
Body Massage,347-685-8720,"21-07 41st Ave; Long Island City, NY, 11101"
Body Of Zen,610-233-8803,"222 Sugartown Rd & W Lancaster Ave; Wayne, PA, 19087"
Body Relaxing,714-360-7079,"10722 Katella Ave. #5; Anaheim, CA, 92804"
Body Scrub Bar,305-619-3216,"13500 SW 88th St, Suite 291; Miami, FL, 33186"
Body Wise,831-915-9057,"335 El Dorado; Monterey, CA, 93940"
Bodyrub Girls,267-265-4193,"9726 Bustelton Ave, Suite 1; Philadelphia, PA, 19115"
BodyTechs,610-467-7776,"16 W Race St; Catasauqua, PA, 18032"
Bodywork Studio,774-260-7157,"Pearl St & Center St; Middleboro, MA, 02346"
Branham Foot Spa,408-372-4523,"1705 Branham ln.; San Jose, CA, 95118"
Brazilian Oasis Day Spa,480-430-8095,"616 E Southern Ave #101; Mesa, AZ, 85204"
Bright & Refreshing Massage,718-439-9009,"6114 5th Ave; Brooklyn, NY, 11220"
Broadway Art Spa,201-535-5599,"Broadway & E 21st St; Bayonne, NJ, 07002"
Broadway Massage,929-231-2960,"45 W. 28th St.  2nd FL; New York City, NY, 10001"
Broadway Spa,914-686-1666,"4 Broadway; Valhalla, NY, 10595"
Broadway Spa,732-753-9990,"103 N Broadway; South Amboy, NJ, 08879"
Brooklyn Body Rub,917-688-6205,"7517 20th Ave.; Brooklyn, NY, 11214"
Brooklyn King Spa,347-263-0056,"1968 86th Street 2nd Floor; Brooklyn, NY, 11214"
Bts Total Care,305-244-8371,"12355 W Dixie Hwy; Miami, FL, 33161"
Burger King,408-729-5400,"3098 Story Rd; San Jose, CA, 95127"
Burke Williams,323-822-9007,"925 N. La Brea Ave; Hollywood, CA, 90038"
BZ Sunny Service,212-759-3207,"347 E. 61st Street; New York City, NY, 10065"
C&K Spa,929-331-9995,"46-09 160th St; Flushing, NY, 11358"
Cactus Foot Spa,347-822-4976,"414 Hawkins Ave; Lake Ronkonkoma, NY, 11779"
CAI Spa,614-868-3588,"1919 State route 256; Reynoldsburg, OH, 43068"
Cameo Health Spa,610-266-8080,"2490 Schoenersville Rd; Bethlehem, PA, 18017"
Campbell Health Spa,408-609-3411,"825 W Hamilton Ave; Campbell, CA, 95008"
Candy Spa,347-557-9160,"554D Route 112; Patchogue, NY, 11772"
Care Spa,408-971-6179,"1060 McLaughlin ave; San Jose, CA, 95122"
Caribbean Spa,773-836-7723,"2250 N. Cicero Ave.; Chicago, IL, 60639"
Carmen Chanel's Day Spa,408-781-5899,"996 Minnesota Ave #103; San Jose, CA, 95125"
Carrollton Chiropractic & Massage,972-417-5828,"2810 E Trinity Mills Rd; Ste 203; Carrollton, TX, 75006"
Castaic Therapy,661-257-1208,"31575 Castaic Rd.; Castaic, CA, 91384"
Central Ave Spa,908-228-2177,"741 Central Ave; Westfield, NJ, 07090"
Central City Healing Spa,215-454-2730,"1535 Cherry Street; Philadelphia, PA, 19102"
Chan Spa,908-789-0161,"508 North Ave East; Westfield, NJ, 07090"
Charming Spa,347-200-6875,"30-38 Steinway St; Astoria, NY, 11103"
Cherry spa,559-728-1107,"3626 w Shaw Ave; Fresno, CA, 93711"
CHI SPA,417-763-0383,"2971 E Chestnut Expressway, 65803; Springfield, MO, 65803"
China Tuina,407-930-7471,"13788 E Colonial Dr; Orlando, FL, 32826"
Chinese Art,832-275-3721,"11364 Westheimer Rd; Houston, TX, 77077"
Chinese Bodywork,212-564-0883,"393 8th Ave.; New York City, NY, 10001"
Chinese Day Spa,425-429-6663,"214 111th Ave NE, Unit C; Bellevue, WA, 98004"
Chinese Foot Massage,805-482-3249,"2165 Ventura Blvd; Camarillo, CA, 93010"
Chinese Massage,215-833-7848,"420 W Emaus Ave; Allentown, PA, 18103"
Chinese Massage,626-466-7224,"2540 Sheridan Boulevard,; Denver, CO, 80214"
Chinese Massage,617-238-1509,"2 Billings Road; Norfolk, MA, 02171"
Chinese Massage,402-315-7237,"1241 S 119Th St.; Omaha, NE, 68144"
Chinese Massage,206-822-5006,"315 NW 85th St, Suite D; Seattle, WA, 98117"
Chinese Massage And Spa,"303-665-8002
303-931-4645","1200 W. South Boulder Rd., Suite 206; Lafayette, CO, 80026"
Chinese Massage Uptown,505-359-5910,"5602 Menual NE; Albuquerque, NM, 87110"
Chinese Therapy Massage,314-600-2060,"9981 Watson Rd.; Crestwood, MO, 63126"
Chun Su Body Scrub,713-935-9282,"1418 Gessner Dr., Suite C; Houston, TX, 77080"
Chun Tzu Massage & Bodywork,619-426-1111,"345 3rd Ave; Chula Vista, CA, 91910"
City Massage Center,559-575-9812,"4960 E Ashlan unit #B; Fresno, CA, 93726"
Cloud 9 Spa,646-922-2999,"2369 86 street; Brooklyn, NY, 11214"
Cloud Nine Massage,661-331-5611,"4300 Ashe Road Ste. 114; Bakersfield, CA, 93309"
Clover Gardens,215-627-0708,"813 Sansom St; Philadelphia, PA, 19107"
CM Chiropractic,714-966-2677,"440 Fair Dr., Suite L; Costa Mesa, CA, 92626"
Colleyville Therapeutic Chinese Massage,817-789-3696,"5611 Colleyville Blvd #240; Colleyville, TX, 76034"
Colton Acupressure,909-872-0089,"1091 S Mount Vernon Ave, Suite F; Colton, CA, 92324"
Columbian Maria White Chary Viet Kayla,408-841-2548,"420 W San Carlos St; San Jose, CA, 95110"
Compton Healing Amores Spa,562-220-8211,"1807 N Bullis Rd; Compton, CA, 90211"
Cool Hand Spa,215-881-5530,"W Cheltenham Ave & Mountain Ave; Elkins Park, PA, 19027"
Cosmo Spa & Salon,612-722-3461,"4302 Nicollet Ave.; Minneapolis, MN, 55409"
Cozy Acupressure Wellness Massage,832-951-7252,"9415 bellaire blvd #71; Houston, TX, 77036"
Cozy And Sweet Massage,818-894-8888,"8332 Sepulveda Blvd #7; North Hills, CA, 91343"
CQ Spa Salon,562-592-1566,"16832 Pacific Coast Hwy; Sunset Beach, CA, 90742"
Crabbs Branch Therapy,301-646-1234,"15821 Crabbs Branch Way; Derwood, MD, 20855"
Crown Spa,305-303-3997,"1850 sw 8th st suite 313; Miami, FL, 33135"
Crystal Massage Spa,214-415-4256,"4122 N Josey Ln; Plano, TX, 75024"
Crystal Spa,856-235-6000,"402 Birchfield Dr; Mount Laurel, NJ, 08054"
Crystal Spa,718-667-5566,"1828 Hylan Blvd & Dongan Hills Ave; Staten Island, NY, 10305"
Crystal Spa,281-894-7888,"11800 Jones Rd; Houston, TX, 77070"
Cute Girls Homestyle Massage,832-231-9545,"10300 Harwin Dr.; Houston, TX, 77036"
D & E Body Treatments,786-484-5546,"17358 S Dixie Hwy; Miami, FL, 33157"
D Massage,832-923-0979,"511 W Little York Rd; Houston, TX, 77091"
D&B Beauty Salon Spa,312-468-0655,"3408s ashland ave; Chicago, IL, 60608"
Da Foot Spa,626-282-2801,"250 W Valley Blvd; San Gabriel, CA, 71776"
Daily Health Center Inc,609-291-8989,"52 Georgetown Rd; Bordentown, NJ, 08505"
Daily Spa,951-245-5346,"31760 Auto Center Dr; Lake Elsinore, CA, 92530"
Dark Secrets & Fragrances,312-521-3176,"3721 W Montrose Ave; Chicago, IL, 60618"
Dashiel Bodyworxx,480-886-9189,"7320 E Whistling Wind Way; Scottsdale, AZ, 85255"
Day Spa,585-935-1818,"White Spruce Blvd; Rochester, NY, 14623"
Day Spa Orlando,407-250-5306,"9938 Universal BV Suite 132; Orlando, FL, 32819"
Dayko Spa,323-726-6993,"6457 Whittier Blvd.; Los Angeles, CA, 90022"
Deep Bodyworks,801-590-8865,"715 E 3900 S #206A; Salt Lake City, UT, 84107"
Diamantes Spa,570-921-3577,"1106 Hampton St; Scranton, PA, 18504"
Diamond Acupressure,510-741-3631,"951 San Pablo Ave., Suite B; Pinole, CA, 94564"
Diamond Health Center,972-201-8878,"1448 W. Buckingham Road; Garland, TX, 75042"
Diamond Spa,414-249-8212,"10820 W National Ave; West Allis, WI, 53227"
Diamond spa,385-448-6160,"1247 Expressway Ln; Spanish Fork, UT, 84660"
Diamondare4ever,405-889-4022,"4210 NW 23 Merdian; Oklahoma City, OK, 73120"
Diamonds Are Forever,405-889-4023,"4211 NW 23rd St; Oklahoma City, OK, 73107"
Diva Spa,347-659-1219,"30-06 37th Street; Astoria, NY, 11103"
Dolly Skin Care,305-262-2611,"5593 SW 8th St.; Coral Gables, FL, 33134"
DongFang massage,206-606-3733,"3201 broadway; Everett, WA, 98201"
Downey Massage,562-869-0869,"12136 Downey Ave.; Downey, CA, 90242"
Dragon Foot Relax,469-515-1089,"525 W Arapaho Rd #5; Richardson, TX, 75080"
Dragon Massage,224-509-1616,"108 S Genesee St; Waukegan, IL, 60085"
Dream Bodywork,718-622-0221,"169 5th Ave; Brooklyn, NY, 11217"
Dream Massage,347-925-2635,"100-35 Metropolitan Ave, 2nd Floor; Forest Hills, NY, 11375"
Dream Of Genie,305-905-2473,"4524 N Bay Rd; Miami Beach, FL, 33140"
Dream Wellness Center,240-305-9613,"13400 Baltimore Ave.; Laurel, MD, 20707"
E-Side Spa,832-806-8999,"11929 East Freeway; Houston, TX, 77029"
Earth Angel Touch Therapy,757-912-5950,"8422 Tidewater dr; Norfolk, VA, 23513"
East Sea Spa,772-571-6463,"13401 US-1; Sebastian, FL, 32958"
Eastern Foot Spa,561-666-0615,"9889 Bellaire Blvd Suite# C329; Houston, TX, 77036"
Eastern Health Center,760-241-6802,"15191 7th St, Suite 3; Victorville, CA, 92392"
Eastside Oasis,425-614-3037,"12600 SE 38th St, #130; Bellevue, WA, 98007"
Eden Body & Mind,704-939-6856,"2001 N Cannon Blvd; Kannapolis, NC, 28083"
Eden Massage,248-509-7481,"6030 Square Lake Rd; Troy, MI, 48085"
Eden Organix Eco-Conscious Boutique & Spa,732-325-9090,"215 Raritan Avenue; Highland Park, NJ, 08904"
Eden Spa,626-426-0668,"77 E 7th Street Suite B; Upland, CA, 91786"
Edgewood Massage Center,650-802-9888,"880 Old County Rd., Suite A; Belmont, CA, 94002"
Elemi Spa,918-568-2118,"3334 E 32nd Pl; Tulsa, OK, 74133"
Elite day spa,408-886-1723,"2437 alvin ave.; San Jose, CA, 95121"
Elite European Spa,267-444-6313,"1605 Pennsylvania 611 & W Street Rd; Warrington, PA, 18976"
Elite Health Care,650-296-0993,"26 E 25th Ave.; San Mateo, CA, 94403"
Elite Rubs,910-777-7599,"Main st; Kernersville, NC, 27284"
En Gioia Massage,321-453-4482,"262 E Merritt Island Causeway; Merritt Island, FL, 32952"
Energy Spa & Bodywork,860-852-3436,"534 Main St; Middletown, CT, 06457"
Energy Village,718-815-8897,"184 Robin Rd & Arthur Ave; Staten Island, NY, 10305"
Escape Massage,612-615-3535,"715 West Franklin Ave. S.; Minneapolis, MN, 55404"
Escape Spa,310-406-0900,"1921 Artesia Blvd; Redondo Beach, CA, 90278"
Escape Therapy,916-973-8001,"5728 Marconi Ave; Carmichael, CA, 95608"
Escape To Paradise,405-225-1311,"4209 NW 23rd St; Oklahoma City, OK, 73107"
Essential Spa,978-221-6402,"11 Broadway Road, Unit C; Dracut, MA, 01826"
Esthetic Center,908-548-8887,"5001 Hadley rd.; South Plainfield, NJ, 07080"
Euphoria Massage,213-427-9900,"4214 Beverly Blvd. Ste. 203; Los Angeles, CA, 90057"
Euromassage Therapy,847-401-9100,"7257 W Touhy Ave., Suite 103; Chicago, IL, 60631"
European Massage Spa Service,908-486-7667,"1428  E. Elizabeth Ave.; Linden, NJ, 07036"
Evelyn's Salon,831-751-0501,"31 Iris Dr.; Salinas, CA, 93906"
Ever Well Massage & Bodywork,410-543-1501,"1201 Pemberton Drive STE 1B; Salisbury, MD, 21801"
Evergreen Acupuncture,310-527-7150,"14780 Crenshaw Blvd.; Gardena, CA, 90249"
Excellent Touch Massage,661-322-4164,"1037 17th St; Bakersfield, CA, 93301"
Executive Spa Club,972-241-1444,"2432 Walnut Ridge St; Dallas, TX, 75229"
Exotic Beautiful Asian Massage,508-663-6652,"231 E Main St; Boston, MA, 01575"
Expo Spa,713-587-8888,"3013 Fountain Dr. Suite D; Houston, TX, 77057"
Exquiste Body Clinic,817-483-5088,"5600 East Loop 820 S, Suite 100; Fort Worth, TX, 76119"
Eye Candy Massage,562-351-1437,"13327 Telegraph Rd; Whittier, CA, 90605"
Family Foot And Body Care,781-488-3199,"238 Massachusetts Ave.; Arlington, MA, 02476"
Fang fang spa,347-905-8071,"2323 Avenue U; Brooklyn, NY, 11229"
Far East Therapy,918-828-9998,"7407 E 46th Pl; Tulsa, OK, 74145"
Fashion Spa,718-358-8686,"133-20 39th Ave #2fl; Flushing, NY, 11354"
Felicity Healing Center,619-672-1167,"9560 Cuyamaca St. Ste. 101; Santee, CA, 92071"
First Health Spa,201-340-4691,"Ridge Rd & Kingsland Ave; Lyndhurst, NJ, 07071"
Five Star Massage,920-636-9609,"550 N Morrison St; Appleton, WI, 54911"
Folsom Massage,916-355-8688,"705 Gold Lake Dr., Suite 100; Folsom, CA, 95630"
Foot & Body Massage,415-879-0288,"1015 2nd St; San Rafael, CA, 94901"
Foot & Body Massage Center,559-436-1468,"3768 N 1st Street; Fresno, CA, 93726"
Foot & Body Massage Spa,626-217-4022,"489 W Holt Ave, Ste 1; Pomona, CA, 91768"
Foot Massage,843-504-6773,"1904-B U.S. 17 Business; Surfside Beach, SC, 29577"
Foot Massage,818-923-0099,"17050 Chatsworth St, Suite 210; Granada Hills, CA, 91344"
Foot Massage (Joy's Massage),626-427-5636,"473 W Northwest Hwy; Palatine, IL, 60067"
Foot Reflexology,832-384-8257,"938 E. Tidwell Rd., #B; Houston, TX, 77022"
Foot Reflexology,661-829-2278,"6077 Coffee Rd. #7; Bakersfield, CA, 93308"
Foot Reflexology Health Center,"718-238-7089
347-295-8308","8514 5th Ave.; Brooklyn, NY, 11209"
Foot Spa,678-957-1121,"3780 Old Norcross Rd, Ste 305; Duluth, GA, 30096"
Forest Beauty Spa,212-226-8839,"58 Elizabeth St; New York City, NY, 10013"
Forever Young Massage,714-964-4260,"18582 Beach Blvd Suite 3; Huntington Beach, CA, 92648"
